,latitude,longitude,Cluster
1642,0.9618834,114.5548495,2
1643,-4.5585849,105.4068079,2
1644,-9,120,2
1645,-3.2384616,130.1452734,6
1646,-2.8646166,129.5765974,6
1647,3.0730929,116.0413889,2
1648,1.5709993,127.8087693,2
1649,0.6246932,123.9750018,2
1650,2.1153547,99.5450974,2
1651,-5.0122202,141.3470159,6
1652,0.2933469,101.7068294,2
1653,3.9456514,108.1428669,2
1654,-3.0926415,115.2837585,2
1655,-3.6687994,119.9740534,2
1656,-3.3194374,103.914399,2
1657,-4.14491,122.174605,2
1658,-7.8753849,110.4262088,2
1659,-1.8479,120.5279,2
1660,-0.589724,101.3431058,2
1661,-7.090911,107.668887,2
1662,-8.6529334,117.3616476,2
1663,-1.3361154,133.1747162,6
1664,-2.8441371,119.2320784,2
1665,-0.7399397,100.8000051,2
1666,35.9960467,50.9289246,0
1667,38.4853276,47.8911209,0
1668,28.7620739,51.5150077,0
1669,31.9970419,50.6613849,0
1670,37.9035733,46.2682109,0
1671,29.1043813,53.045893,0
1672,37.2809455,49.5924134,0
1673,37.2898123,55.1375834,0
1674,34.9193607,47.4832925,0
1675,27.138723,55.1375834,0
1676,33.2957618,46.670534,0
1677,33.2771073,52.3613378,0
1678,29.4850089,57.6439048,0
1679,34.4576233,46.670534,0
1680,31.4360149,49.041312,0
1681,30.724586,50.8456323,0
1682,35.9553579,47.1362125,0
1683,33.5818394,48.3988186,0
1684,34.612305,49.8547266,0
1685,36.2262393,52.5318604,0
1686,37.4710353,57.1013188,0
1687,36.0881317,49.8547266,0
1688,34.6415764,50.8746035,0
1689,35.1020253,59.1041758,0
1690,35.2255585,54.4342138,0
1691,27.5299906,60.5820676,0
1692,32.5175643,59.1041758,0
1693,35.7248416,51.381653,0
1694,37.4550062,45,0
1695,32.1006387,54.4342138,0
1696,36.5018185,48.3988186,0
1697,32.5597614,41.9196471,0
1698,29.9133171,45.2993862,0
1699,32.043691,45.1494505,0
1700,32.468191,44.5501935,0
1701,33.3152618,44.3660653,0
1702,30.5114252,47.8296253,0
1703,31.1042292,46.3624686,0
1704,33.7733487,45.1494505,0
1705,36.9077252,43.0631689,0
1706,36.5570628,44.3851263,0
1707,32.4045493,43.8673222,0
1708,35.3292014,43.9436788,0
1709,31.8734002,47.1362125,0
1711,36.229574,42.2362435,0
1712,34.5337527,43.483738,0
1713,35.5466348,45.3003683,0
1714,32.6024094,45.7520985,0
1715,53.8376243,-8.9584481,4
1716,52.7232217,-6.8108295,4
1717,53.9765424,-7.2996623,4
1718,43.04664,-87.899581,1
1719,51.8985143,-8.4756035,4
1720,54.6548993,-8.1040967,4
1721,53.3498053,-6.2603097,4
1722,53.3564509,-8.8534113,4
1723,52.1544607,-9.5668633,4
1724,53.2120434,-6.8194708,4
1725,52.5776957,-7.218002,4
1726,52.994295,-7.3323007,4
1727,52.5090517,-8.7474955,4
1728,53.7274982,-7.7931527,4
1729,53.9252324,-6.4889423,4
1730,54.0152604,-9.4289369,4
1731,53.605548,-6.6564169,4
1732,54.2492046,-6.9683132,4
1733,53.2356871,-7.7122229,4
1734,53.7592604,-8.2681621,4
1735,54.1553277,-8.6064532,4
1736,52.4737894,-8.1618514,4
1737,52.1943549,-7.6227512,4
1738,53.5345308,-7.4653217,4
1739,52.4793603,-6.5839913,4
1740,52.9862313,-6.3672543,4
1741,53.3271538,-7.5140841,4
1742,51.9471197,7.584532,4
1743,54.7616555,-6.9612273,4
1744,47.6087583,-122.2964235,1
1745,32.4814111,34.994751,0
1746,31.7648243,34.994751,0
1747,36.1511864,-95.9951763,1
1748,40.7137586,-74.0009059,1
1749,32.0929075,34.8072165,0
1750,42.1920119,13.7289167,4
1751,45.7388878,7.4261866,4
1752,40.7928393,17.1011931,4
1753,40.6430766,15.9699878,4
1754,41.2035093,14.7520939,4
1755,39.3087714,16.3463791,4
1756,40.6670887,15.1068113,4
1757,44.5967607,11.2186396,4
1758,46.2259177,13.1033646,4
1759,45.6991667,-73.6558333,1
1760,37.3105202,13.5857978,4
1761,37.486013,14.0614982,4
1762,37.5676216,14.2795349,4
1763,36.9269273,14.7255129,4
1764,37.0656924,15.2857109,4
1765,38.0183116,12.5148265,4
1766,44.3167917,8.3964938,4
1767,45.4790671,9.8452433,4
1768,30.556707,-81.449303,1
1769,41.1171432,16.8718715,4
1770,44.494887,11.3426162,4
1771,39.2238411,9.1216613,4
1772,37.4515438,15.0557415,4
1773,43.7679178,11.2523792,4
1774,44.4056493,8.9462564,4
1775,38.1937335,15.5542057,4
1776,45.458626,9.181873,4
1778,38.11569,13.3614868,4
1779,38.1084396,15.6437048,4
1780,41.9027008,12.4962352,4
1781,45.063299,7.669289,4
1782,45.4414685,12.3152672,4
1783,41.6738865,14.7520939,4
1784,43.6130118,12.7135121,4
1785,45.0522366,7.5153885,4
1786,44.8175587,8.7046627,4
1787,43.5493245,13.2663479,4
1788,42.8638933,13.5899733,4
1789,44.9007652,8.2064315,4
1790,40.996451,15.1258955,4
1791,41.2004543,16.2051484,4
1792,46.2497659,12.1969565,4
1793,45.6982642,9.6772698,4
1794,45.5628176,8.0582717,4
1795,45.5415526,10.2118019,4
1796,40.6112663,17.763621,4
1797,41.6738865,14.7520939,4
1798,39.2534659,8.5721016,4
1799,41.2078354,14.1001326,4
1800,38.8896348,16.4405872,4
1801,42.0334428,14.3791912,4
1802,45.8080416,9.0851793,4
1803,39.5644105,16.2522143,4
1804,45.2014375,9.9836582,4
1805,39.1309856,17.0067031,4
1806,44.5970314,7.6114217,4
1807,43.0931367,13.5899733,4
1808,44.766368,11.7644068,4
1809,41.638448,15.5943388,4
1810,43.9947681,11.9804613,4
1811,41.6576528,13.6362715,4
1812,45.9053899,13.5163725,4
1813,42.8518007,11.2523792,4
1814,43.941866,7.8286368,4
1815,41.5891555,14.1930918,4
1816,42.1256317,13.6362715,4
1817,44.2447913,9.7678687,4
1818,41.4087476,13.0817903,4
1819,40.2347393,18.1428669,4
1820,45.9382941,9.385729,4
1821,43.0239848,10.6647101,4
1822,45.2405036,9.5292512,4
1823,43.8376736,10.495053,4
1824,43.2459322,13.2663479,4
1825,45.1667728,10.7753613,4
1826,44.2213998,10.0359661,4
1827,40.6663496,16.6043636,4
1828,39.5317389,8.704075,4
1829,44.5513799,10.918048,4
1830,45.623599,9.2588015,4
1831,45.5485133,8.5150793,4
1832,40.3286904,9.456155,4
1833,39.8410536,9.456155,4
1834,40.8268383,9.2785583,4
1835,40.0599068,8.7481167,4
1836,45.3661864,11.8209139,4
1837,44.8015322,10.3279354,4
1838,45.3218166,8.8466236,4
1839,42.938004,12.6216211,4
1840,42.3570655,13.9608091,4
1841,44.8263112,9.5291447,4
1842,43.7228315,10.4017194,4
1843,43.9543733,10.8903099,4
1844,46.0378862,12.710835,4
1845,40.4182194,15.876004,4
1846,44.04539,11.1164452,4
1847,44.4184443,12.2035998,4
1848,44.585658,10.5564736,4
1849,42.3674405,12.8975098,4
1850,44.0678288,12.5695158,4
1851,45.0241818,11.8238162,4
1852,40.4287832,15.2194808,4
1853,40.7967907,8.5750407,4
1854,44.2887995,8.265058,4
1855,43.2937732,11.4339148,4
1856,46.1727636,9.7994917,4
1857,40.5740901,17.2429976,4
1858,42.5895608,13.6362715,4
1859,42.5634534,12.5298028,4
1860,45.6668517,12.2430617,4
1861,45.6894823,13.7833072,4
1862,46.1407972,13.1662896,4
1863,45.799026,8.7300945,4
1864,46.1399688,8.2724649,4
1865,45.3202204,8.418508,4
1866,45.4418498,11.0735316,4
1867,38.6378565,16.2051484,4
1868,45.6983995,11.5661465,4
1869,42.400242,11.8891721,4
1870,40.1208752,9.0128926,4
1871,37.5999938,14.0153557,4
1872,46.494945,11.3402657,4
1873,46.0512004,11.1175392,4
1874,46.4336662,11.1693296,4
1875,43.7710513,11.2486208,4
1876,42.938004,12.6216211,4
1877,45.4414662,12.3152595,4
1878,17.9557183,-77.2405153,1
1879,18.4097707,-78.133638,1
1880,17.9683271,-76.782702,1
1881,18.0669654,-77.5160788,1
1882,18.0844274,-76.4100267,1
1883,37.2245103,-95.7021189,1
1884,37.2871452,-77.4103533,1
1885,18.0364134,-77.0564464,1
1886,38.9925308,-94.58992,1
1887,30.0179292,-90.7913227,1
1888,36.092522,-95.973844,1
1889,41.4425389,-81.7402218,1
1890,18.3526143,-77.6077865,1
1891,18.2944378,-78.1564432,1
1892,35.0182505,137.2923893,2
1893,40.1376293,140.334341,2
1894,40.7657077,140.9175879,2
1895,35.3354155,140.1832516,2
1896,33.6025306,132.7857583,2
1897,35.896227,136.2111579,2
1898,33.5662559,130.715857,2
1899,37.3834373,140.1832516,2
1900,35.7437491,136.9805103,2
1901,36.5605388,138.8799972,2
1902,34.8823408,133.0194897,2
1903,43.2203266,142.8634737,2
1904,34.8579518,134.5453787,2
1905,36.2193571,140.1832516,2
1906,36.3260317,136.5289653,2
1907,39.5832989,141.2534574,2
1908,34.2225915,134.0199152,2
1909,31.3911958,130.8778586,2
1910,35.4913535,139.284143,2
1911,33.2879161,132.2759262,2
1912,32.8594427,130.7969149,2
1913,35.1566609,135.5251982,2
1914,33.8143901,136.0487047,2
1915,38.630612,141.1193048,2
1916,32.6036022,131.441251,2
1917,36.1543941,137.9218204,2
1918,33.2488525,129.6930912,2
1919,34.2975528,135.8279734,2
1920,37.5178386,138.9269794,2
1921,33.1589299,131.3611121,2
1922,34.8963407,133.6375314,2
1923,26.1201911,127.7025012,2
1924,34.6413315,135.5629394,2
1925,33.3078371,130.2271243,2
1926,35.9962513,139.4466005,2
1927,35.3292014,136.0563212,2
1928,35.1244094,132.6293446,2
1929,35.0929397,138.3190276,2
1930,36.6714739,139.8547266,2
1931,33.9419655,134.3236557,2
1932,35.6761919,139.6503106,2
1933,35.3573161,133.4066618,2
1934,36.6958266,137.2137071,2
1935,33.9480914,135.3745358,2
1936,38.5370564,140.1435198,2
1937,34.2796769,131.5212742,2
1938,35.6635113,138.6388879,2
1939,32.3325584,35.7516844,0
1940,31.9453633,35.9283895,0
1941,29.532086,35.0062821,0
1942,32.0366806,35.728848,0
